(total, prim, unb, anc, ove, others) where (number, number exclusive)


(2, [0, 0], [2, 0], [0, 0], [2, 0], 0)
(4, [0, 0], [4, 2], [2, 0], [2, 0], 0)
(8, [2, 0], [6, 0], [6, 0], [4, 0], 0)
(16, [2, 0], [10, 6], [4, 0], [4, 0], 4)
(32, [2, 0], [14, 4], [14, 4], [8, 4], 8)
(64, [4, 0], [28, 10], [26, 8], [8, 2], 22)
(128, [4, 0], [42, 8], [56, 20], [16, 8], 52)
(256, [4, 0], [84, 26], [100, 36], [24, 12], 114)
(512, [10, 0], [154, 44], [194, 76], [40, 20], 244)
(1024, [10, 4], [300, 118], [356, 148], [72, 38], 502)
(2048, [10, 4], [570, 252], [648, 292], [132, 86], 1052)
(4096, [22, 4], [1150, 590], [1170, 536], [252, 158], 2156)
(8192, [22, 12], [2234, 1276], [2130, 1024], [480, 320], 4444)
(16384, [22, 14], [4468, 2798], [3844, 1884], [940, 640], 9080)
(32768, [52, 20], [8866, 5924], [6916, 3476], [1824, 1292], 18584)
(65536, [52, 32], [17706, 12566], [12498, 6320], [3660, 2600], 37820)
