(total, prim, unb, anc, ove, others) where (number, number exclusive)

(3, [0, 0], [3, 0], [0, 0], [3, 0], 0)
(9, [0, 0], [9, 6], [3, 0], [3, 0], 0)
(27, [3, 0], [21, 6], [18, 0], [9, 0], 0)
(81, [3, 0], [57, 18], [48, 0], [15, 0], 12)
(243, [3, 0], [147, 30], [150, 12], [39, 12], 48)
(729, [9, 0], [441, 90], [474, 66], [93, 24], 132)
(2187, [9, 0], [1245, 144], [1578, 300], [243, 54], 402)
(6561, [9, 0], [3735, 378], [4950, 1062], [735, 192], 1032)
(19683, [33, 0], [11055, 804], [15666, 3840], [2037, 426], 2754)
(59049, [33, 12], [33111, 2214], [48720, 12738], [6291, 1182], 6900)
(177147, [33, 18], [98877, 5634], [150780, 42156], [18303, 2904], 17796)
(531441, [105, 12], [296697, 15564], [463590, 134778], [55689, 7914], 44268)
(1594323, [105, 54], [888627, 41700], [1420818, 428226], [165219, 19500], 112200)
(4782969,[105, 78],[2665881, 112806],[4338714, 1338828],[498975, 52134],279210)
